id,name
EnergyUnitOfMeasure,EnergyUnitOfMeasure
AreaUnitOfMeasure,AreaUnitOfMeasure
AirFlowDisplacementUnitOfMeasure,AirFlowDisplacementUnitOfMeasure
BurnTimeUnitOfMeasure,BurnTimeUnitOfMeasure
LengthUnitOfMeasure,LengthUnitOfMeasure
LuminanceUnitOfMeasure,LuminanceUnitOfMeasure
VolumeUnitOfMeasure,VolumeUnitOfMeasure
VolumeRateUnitOfMeasure,VolumeRateUnitOfMeasure
WeightUnitOfMeasure,WeightUnitOfMeasure
JewelryLengthUnitOfMeasure,JewelryLengthUnitOfMeasure
JewelryWeightUnitOfMeasure,JewelryWeightUnitOfMeasure
DegreeUnitOfMeasure,DegreeUnitOfMeasure
MemorySizeUnitOfMeasure,MemorySizeUnitOfMeasure
FrequencyUnitOfMeasure,FrequencyUnitOfMeasure
AmperageUnitOfMeasure,AmperageUnitOfMeasure
ResistanceUnitOfMeasure,ResistanceUnitOfMeasure
TimeUnitOfMeasure,TimeUnitOfMeasure
BatteryAverageLifeUnitOfMeasure,BatteryAverageLifeUnitOfMeasure
DateUnitOfMeasure,DateUnitOfMeasure
SunProtectionUnitOfMeasure,SunProtectionUnitOfMeasure
AssemblyTimeUnitOfMeasure,AssemblyTimeUnitOfMeasure
AgeRecommendedUnitOfMeasure,AgeRecommendedUnitOfMeasure
BatteryPowerUnitOfMeasure,BatteryPowerUnitOfMeasure
LuminousIntensityUnitOfMeasure,LuminousIntensityUnitOfMeasure
VoltageUnitOfMeasure,VoltageUnitOfMeasure
MillimeterUnitOfMeasure,MillimeterUnitOfMeasure
NoiseLevelUnitOfMeasure,NoiseLevelUnitOfMeasure
TemperatureUnitOfMeasure,TemperatureUnitOfMeasure
TemperatureRatingUnitOfMeasure,TemperatureRatingUnitOfMeasure
ClothingSizeUnitOfMeasure,ClothingSizeUnitOfMeasure
CurrentUnitOfMeasure,CurrentUnitOfMeasure
GraduationIntervalUnitOfMeasure,GraduationIntervalUnitOfMeasure
VolumeAndVolumeRateUnitOfMeasure,VolumeAndVolumeRateUnitOfMeasure
ForceUnitOfMeasure,ForceUnitOfMeasure
HardnessUnitOfMeasure,HardnessUnitOfMeasure
SweetnessAtHarvestUnitOfMeasure,SweetnessAtHarvestUnitOfMeasure
VineyardYieldUnitOfMeasure,VineyardYieldUnitOfMeasure
AlcoholContentUnitOfMeasure,AlcoholContentUnitOfMeasure
DataTransferUnitOfMeasure,DataTransferUnitOfMeasure
WattageUnitOfMeasure,WattageUnitOfMeasure
PowerUnitOfMeasure,PowerUnitOfMeasure
ResolutionUnitOfMeasure,ResolutionUnitOfMeasure
ApertureUnitOfMeasure,ApertureUnitOfMeasure
ContinuousShootingUnitOfMeasure,ContinuousShootingUnitOfMeasure
EnergyConsumptionUnitOfMeasure,EnergyConsumptionUnitOfMeasure
TorqueUnitOfMeasure,TorqueUnitOfMeasure
CapacityUnitMeasure,CapacityUnitMeasure
BootSizeUnitOfMeasure,BootSizeUnitOfMeasure
CycleLengthUnitOfMeasure,CycleLengthUnitOfMeasure
NeckSizeUnitOfMeasure,NeckSizeUnitOfMeasure
MagnificationUnitOfMeasure,MagnificationUnitOfMeasure
SpeedUnitOfMeasure,SpeedUnitOfMeasure
Custom_uom,Custom_uom
ResolvingPowerUnitOfMeasure,ResolvingPowerUnitOfMeasure
DawesLimitUnitOfMeasure,DawesLimitUnitOfMeasure
EngineDisplacement_uom,EngineDisplacement_uom
MaximumPitchSpeed_uom,MaximumPitchSpeed_uom
ShearStrengthUnitOfMeasure,ShearStrengthUnitOfMeasure
PixelUnitOfMeasure,PixelUnitOfMeasure
ZoomUnitOfMeasure,ZoomUnitOfMeasure
PressureUnitOfMeasure,PressureUnitOfMeasure
VolumeAndVolumeRateUnitOfMeasure,VolumeAndVolumeRateUnitOfMeasure
GraduationIntervalUnitOfMeasure,GraduationIntervalUnitOfMeasure
MaxEnergyOutputUnitOfMeasure,MaxEnergyOutputUnitOfMeasure
FilterPoreSizeUnitOfMeasure,FilterPoreSizeUnitOfMeasure
IceCapacityUnitOfMeasure,IceCapacityUnitOfMeasure
MaxRotationSpeedUnitOfMeasure,MaxRotationSpeedUnitOfMeasure
UnknownOpticalUnitOfMeasure,UnknownOpticalUnitOfMeasure
DataTransferSpeedUnitOfMeasure,DataTransferSpeedUnitOfMeasure
TabletDataRateUnitOfMeasure,TabletDataRateUnitOfMeasure
TabletResolutionUnitOfMeasure,TabletResolutionUnitOfMeasure
MemoryInterfaceUnitOfMeasure,MemoryInterfaceUnitOfMeasure
AirflowUnitOfMeasure,AirflowUnitOfMeasure
PressureLevelUnitOfMeasure,PressureLevelUnitOfMeasure
